time	V(vout)	I(R2)	Ix(U2:DRAIN)	Ix(U3:DRAIN)	Ix(U4:DRAIN)	Ix(U5:DRAIN)	Ix(U7:DRAIN)	Ix(U8:DRAIN)	Ix(U9:DRAIN)	Ix(U10:DRAIN)	Ix(U16:DRAIN)	Ix(U17:DRAIN)	Ix(U18:DRAIN)	Ix(U19:DRAIN)
0.000000000000000e+000	2.266962e+000	-2.330389e-006	-5.921912e-014	-5.922032e-014	-5.922088e-014	-5.922109e-014	1.183852e-006	1.183867e-006	1.183898e-006	1.183847e-006	-5.922104e-014	-5.922070e-014	1.183848e-006	1.183857e-006
1.497965671920351e-004	2.286756e+000	-2.132430e-006	-6.356394e-014	-6.356537e-014	-6.356604e-014	-6.356629e-014	1.082952e-006	1.082964e-006	1.082991e-006	1.082947e-006	-6.356622e-014	-6.356582e-014	1.082948e-006	1.082956e-006
2.995931343840702e-004	2.305392e+000	-1.946061e-006	-9.204681e-014	-9.204855e-014	-9.204937e-014	-9.204966e-014	9.880333e-007	9.880439e-007	9.880665e-007	9.880295e-007	-9.204957e-014	-9.204909e-014	9.880305e-007	9.880368e-007
4.493897015761054e-004	2.322870e+000	-1.771281e-006	-1.446677e-013	-1.446699e-013	-1.446709e-013	-1.446712e-013	8.990968e-007	8.991057e-007	8.991248e-007	8.990936e-007	-1.446711e-013	-1.446705e-013	8.990944e-007	8.990998e-007
5.991862687681405e-004	2.339188e+000	-1.608090e-006	-2.214267e-013	-2.214293e-013	-2.214305e-013	-2.214309e-013	8.161422e-007	8.161497e-007	8.161657e-007	8.161395e-007	-2.214308e-013	-2.214301e-013	8.161402e-007	8.161447e-007
7.489828359601756e-004	2.354349e+000	-1.456489e-006	-3.223238e-013	-3.223269e-013	-3.223283e-013	-3.223288e-013	7.391695e-007	7.391758e-007	7.391892e-007	7.391672e-007	-3.223287e-013	-3.223278e-013	7.391678e-007	7.391715e-007
8.987794031522108e-004	2.368350e+000	-1.316478e-006	-4.473589e-013	-4.473626e-013	-4.473643e-013	-4.473649e-013	6.681786e-007	6.681840e-007	6.681954e-007	6.681767e-007	-4.473648e-013	-4.473637e-013	6.681772e-007	6.681804e-007
1.048575970344245e-003	2.381193e+000	-1.188056e-006	-5.965320e-013	-5.965364e-013	-5.965384e-013	-5.965392e-013	6.031697e-007	6.031743e-007	6.031842e-007	6.031680e-007	-5.965390e-013	-5.965378e-013	6.031684e-007	6.031712e-007
2.048575970344246e-003	2.448317e+000	-5.168273e-007	-4.575050e-012	-4.575059e-012	-4.575064e-012	-4.575065e-012	2.623465e-007	2.623478e-007	2.623505e-007	2.623460e-007	-4.575065e-012	-4.575062e-012	2.623461e-007	2.623469e-007
3.048575970344246e-003	2.484756e+000	-1.524436e-007	-3.015563e-011	-3.015564e-011	-3.015565e-011	-3.015565e-011	7.738912e-008	7.738929e-008	7.738968e-008	7.738905e-008	-3.015565e-011	-3.015565e-011	7.738907e-008	7.738917e-008
