time	V(in1)	V(in2)	V(in3)	V(in4)	V(in5)	V(in6)	V(vout)	V(n001)	Ix(U2:DRAIN)	Ix(U3:DRAIN)	Ix(U4:DRAIN)	Ix(U5:DRAIN)	Ix(U16:DRAIN)	Ix(U17:DRAIN)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.587360e-001	1.564112e-003	-5.609784e-014	-5.609173e-014	-5.607816e-014	-5.604992e-014	-5.599059e-014	-5.584708e-014
4.194303881376982e-003	3.355443e-001	3.355443e-001	3.355443e-001	3.355443e-001	3.355443e-001	3.355443e-001	1.404566e-001	1.382989e-003	-7.919937e-010	-7.918790e-010	-7.916232e-010	-7.910846e-010	-7.899122e-010	-7.866797e-010
5.805696118623019e-003	4.644557e-001	4.644557e-001	4.644557e-001	4.644557e-001	4.644557e-001	4.644557e-001	1.335275e-001	1.314360e-003	-6.763831e-009	-6.762838e-009	-6.760618e-009	-6.755922e-009	-6.745549e-009	-6.715680e-009
6.777215525507927e-003	5.421773e-001	5.421773e-001	5.421773e-001	5.421773e-001	5.421773e-001	5.421773e-001	1.293577e-001	1.273059e-003	-4.398550e-008	-4.397932e-008	-4.396536e-008	-4.393507e-008	-4.386378e-008	-4.362029e-008
8.056961186230184e-003	6.445569e-001	6.445569e-001	6.445569e-001	6.445569e-001	6.445569e-001	6.445569e-001	1.236648e-001	1.216670e-003	-3.398385e-007	-3.397280e-007	-3.394631e-007	-3.388113e-007	-3.368677e-007	-3.280699e-007
1.000000000000000e-002	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	1.145699e-001	1.126577e-003	-1.282219e-006	-1.281723e-006	-1.280524e-006	-1.277536e-006	-1.268450e-006	-1.226607e-006
1.010000000000000e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	1.145608e-001	1.126578e-003	-1.282219e-006	-1.281723e-006	-1.280524e-006	-1.277536e-006	-1.268450e-006	-1.226607e-006
1.010568517568708e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	7.545186e-001	1.146047e-001	1.127015e-003	-1.282240e-006	-1.281756e-006	-1.280592e-006	-1.277707e-006	-1.269029e-006	-8.358750e-007
1.011705552706125e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	6.635558e-001	1.146873e-001	1.127834e-003	-1.282278e-006	-1.281816e-006	-1.280717e-006	-1.278022e-006	-1.270070e-006	-3.714552e-007
1.013979622980958e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	4.816302e-001	1.148440e-001	1.129385e-003	-1.282351e-006	-1.281931e-006	-1.280952e-006	-1.278601e-006	-1.271928e-006	-4.555414e-008
1.015451859450333e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	3.638512e-001	1.149439e-001	1.130375e-003	-1.282397e-006	-1.282003e-006	-1.281100e-006	-1.278958e-006	-1.273033e-006	-1.139363e-009
1.020000000000000e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	0.000000e+000	1.152559e-001	1.133465e-003	-1.282539e-006	-1.282226e-006	-1.281545e-006	-1.280003e-006	-1.276064e-006	-5.571953e-014
2.000000000000000e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	0.000000e+000	1.152560e-001	1.133465e-003	-1.282539e-006	-1.282226e-006	-1.281545e-006	-1.280003e-006	-1.276064e-006	-5.571953e-014
2.002372237703027e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	1.897790e-001	1.150927e-001	1.131846e-003	-1.282465e-006	-1.282110e-006	-1.281313e-006	-1.279463e-006	-1.274522e-006	-2.540311e-010
2.005535221307063e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	4.428177e-001	1.148746e-001	1.129686e-003	-1.282365e-006	-1.281952e-006	-1.280994e-006	-1.278695e-006	-1.272174e-006	-2.550744e-007
2.010000000000000e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	1.145608e-001	1.126578e-003	-1.282219e-006	-1.281723e-006	-1.280524e-006	-1.277536e-006	-1.268450e-006	-1.226607e-006
2.010446477869293e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	7.642817e-001	8.000000e-001	1.146312e-001	1.127278e-003	-1.282252e-006	-1.281775e-006	-1.280632e-006	-1.277808e-006	-9.249296e-007	-1.227923e-006
2.011339433607881e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	6.928453e-001	8.000000e-001	1.147633e-001	1.128588e-003	-1.282314e-006	-1.281872e-006	-1.280831e-006	-1.278302e-006	-4.765912e-007	-1.230302e-006
2.013125345085056e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	5.499724e-001	8.000000e-001	1.150124e-001	1.131054e-003	-1.282428e-006	-1.282051e-006	-1.281193e-006	-1.279168e-006	-1.290634e-007	-1.234507e-006
2.016697168039405e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	2.642266e-001	8.000000e-001	1.154998e-001	1.135882e-003	-1.282648e-006	-1.282393e-006	-1.281867e-006	-1.280703e-006	-5.037962e-009	-1.242022e-006
2.020000000000000e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	0.000000e+000	8.000000e-001	1.159527e-001	1.140368e-003	-1.282849e-006	-1.282702e-006	-1.282466e-006	-1.282006e-006	-5.587274e-014	-1.248433e-006
3.010000000000000e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	0.000000e+000	8.000000e-001	1.159529e-001	1.140368e-003	-1.282849e-006	-1.282702e-006	-1.282466e-006	-1.282006e-006	-5.587274e-014	-1.248433e-006
3.010305439922571e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	0.000000e+000	7.755648e-001	1.159770e-001	1.140607e-003	-1.282859e-006	-1.282718e-006	-1.282496e-006	-1.282068e-006	-5.587434e-014	-1.003672e-006
3.010916319767712e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	0.000000e+000	7.266944e-001	1.160232e-001	1.141065e-003	-1.282879e-006	-1.282749e-006	-1.282553e-006	-1.282186e-006	-5.587739e-014	-6.310548e-007
3.012138079457995e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	0.000000e+000	6.289536e-001	1.161104e-001	1.141929e-003	-1.282917e-006	-1.282806e-006	-1.282660e-006	-1.282402e-006	-5.588303e-014	-2.475897e-007
3.014581598838561e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	0.000000e+000	4.334721e-001	1.162774e-001	1.143583e-003	-1.282989e-006	-1.282915e-006	-1.282863e-006	-1.282806e-006	-5.589366e-014	-1.133318e-008
3.015112961238868e+000	8.000000e-001	8.000000e-001	8.000000e-001	8.000000e-001	0.000000e+000	3.909631e-001	1.163134e-001	1.143939e-003	-1.283004e-006	-1.282938e-006	-1.282906e-006	-1.282891e-006	-5.589591e-014	-6.230980e-010
